ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Low stock amount","Cho phép đặt trước?","Bán riêng?","Cân nặng (kg)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: views","Meta: _oembed_8839f14990715665af6410e80a29ea81","Meta: video_sp","Meta: _video_sp","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính toàn cục 1","Tên tập tin tải về 1","URL tập tin tải về 1","Meta: 360_do_0_color","Meta: _360_do_0_color","Meta: 360_do_0_title","Meta: _360_do_0_title","Meta: _360_do_0_list_image","Meta: 360_do_1_color","Meta: _360_do_1_color","Meta: 360_do_1_title","Meta: _360_do_1_title","Meta: _360_do_1_list_image","Meta: 360_do","Meta: _360_do","Meta: _wcj_wholesale_price_per_product_enabled","Meta: _wcj_wholesale_price_discount_type","Meta: _wcj_wholesale_price_levels_number","Meta: _wcj_wholesale_price_level_min_qty_1","Meta: _wcj_wholesale_price_level_discount_1"
42,simple,,"iPhone X 64GB",1,1,visible,"Trả góp 0% + Trợ giá 8,000,000đ khi mua kèm gói VNM-FPT888 Xem chi tiết
\n 	<li><label>Đèn pin :</label>Có</li>
\n 	<li class=""fs-dttskt-tit"">Bảo hành</li>
\n 	<li><label>Thời gian bảo hành :</label>12 Tháng</li>
\n 	<li class=""fs-dttskt-tit"">Hệ điều hành</li>
\n 	<li><label>Hệ điều hành :</label>iOS 11</li>
\n</ul>
\n<iframe width=""100%"" height=""415"" src=""https://www.youtube-nocookie.com/embed/tsM6ch5FD-s"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",,,taxable,,1,,,0,0,,,,,1,,,29990000,"Điện thoại > Iphone","iphone, iphone x",,"http://shop.thietkeweb43.com/wp-content/uploads/2018/02/636483223586180190_3.jpg, http://shop.thietkeweb43.com/wp-content/uploads/2018/02/636483223586024189_2-1.jpg, http://shop.thietkeweb43.com/wp-content/uploads/2018/02/636483223586180190_1.jpg",,,,,,,,,0,25,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,simple,,"iPhone 8 Plus 256GB",1,0,visible,"Trả góp 0% Hoặc Giảm ngay 500,000đ
\nMua combo (iPhone + Apple Watch) giảm thêm 1,000,000đ","<strong>iPhone 8 Plus 256Gb đã cập bến khá thành công trong sự mong mỏi của hội fan táo khuyết. Với những nâng cấp tuy “ít mà chất”, iPhone 8 Plus 256Gb thật sự là sự lựa chọn chính xác cho những ai đang muốn đổi mới chiếc iPhone cũ ngay bây giờ!</strong>
\n<h2><strong>iPhone 8 Plus 256GB có thiết kế sang trọng</strong></h2>
\n<img id=""iPhone 8 Plus 256GB có thiết kế sang trọng"" class=""aligncenter"" title=""iPhone 8 Plus 256GB có thiết kế sang trọng"" src=""https://fptshop.com.vn/Uploads/images/2015/SANPHAM/T11/iphone-8-plus-256-gb/iphone-8-plus-256-gb-5.jpg"" alt=""iPhone 8 Plus 256GB có thiết kế sang trọng"" longdesc=""https://fptshop.com.vn/dien-thoai/iphone-8-plus-256-gb"" />
